No, 1-Star, 2-Star, 3-Star, 4-Star
1, 4356, 4374, 4152, 4650
2, 5386, 4857, 4570, 4706
3, 4465, 4129, 5092, 4382
4, 4759, 4392, 4189, 5479
5, 4212, 4613, 4574, 4289
6, 4230, 4455, 4539, 4792
7, 4416, 4491, 4581, 4212
8, 4478, 4778, 4565, 4643
9, 4174, 4700, 4076, 4803
10, 4760, 4435, 4584, 4891
11, 4363, 4150, 4079, 5041
12, 4694, 4364, 5083, 4709
13, 4433, 4523, 4982, 4808
14, 4109, 4769, 4656, 4242
15, 4154, 4149, 4644, 4569
16, 4775, 4912, 4892, 4535
17, 5130, 4306, 4810, 4232
18, 5018, 4301, 4178, 4428
19, 5194, 4113, 4262, 5258
20, 4324, 4062, 4114, 4367
21, 4515, 4468, 4513, 5294
22, 4389, 4326, 4488, 4226
23, 4532, 4219, 4640, 4664
24, 4399, 4719, 4941, 4315
25, 4461, 4608, 4019, 5269
26, 5066, 4702, 4151, 4605
27, 4959, 5277, 5201, 5292
28, 5597, 5956, 5063, 5439
29, 4404, 4538, 4807, 4121
30, 4655, 4254, 4243, 4636
31, 4352, 4296, 4088, 4800
32, 4285, 4432, 4002, 4226
33, 4588, 4210, 4452, 5038
34, 4714, 4670, 4156, 4831
35, 4079, 4182, 4090, 4765
36, 4184, 4541, 4752, 4266
37, 4163, 4225, 4168, 4281
38, 4159, 4423, 4763, 4377
39, 4881, 4729, 4895, 4953
40, 4026, 4119, 4569, 4002
41, 4385, 4463, 4167, 4745
42, 4389, 4066, 4575, 4910
43, 4497, 4158, 4531, 5063
44, 4586, 4133, 4137, 4109
45, 4263, 4032, 4409, 5051
46, 4741, 4075, 4566, 5169
47, 5023, 4416, 5299, 4390
48, 4432, 5050, 4272, 5240
49, 4600, 4541, 4600, 5047
50, 4508, 4509, 4484, 5155
51, 4147, 4219, 4060, 4695
52, 4350, 4238, 4402, 5119
53, 4751, 4428, 4426, 5080
54, 4452, 4710, 4700, 4987
55, 4283, 4753, 5124, 5151
56, 4740, 4393, 4748, 4964
57, 4417, 4408, 4577, 4734
58, 4005, 4441, 4152, 4836
59, 4378, 4527, 5266, 5402
60, 5507, 5590, 5831, 5798
61, 5011, 4378, 4535, 4909
62, 4671, 4713, 4272, 4746
63, 4483, 4623, 5201, 4759
64, 4421, 4689, 4517, 4449
65, 4467, 4854, 5142, 5262
66, 4799, 4777, 4799, 5770
67, 4248, 4812, 5022, 5644
68, 4186, 4345, 4961, 4689
69, 4675, 4087, 4757, 4022
70, 5101, 5468, 5779, 5124
71, 4425, 4194, 4852, 5159
72, 4044, 4139, 4156, 4070
73, 4549, 4935, 4941, 4928
74, 4335, 4453, 4768, 4566
75, 4183, 4159, 4424, 4443
76, 4307, 4558, 4763, 5225
77, 4740, 4393, 4910, 4846
78, 5328, 5973, 5434, 6161
79, 5211, 4986, 4584, 5892
80, 4490, 4389, 4074, 5246
81, 4245, 4763, 4736, 4862
82, 4301, 4614, 4273, 4208
83, 4450, 4324, 4581, 4106
84, 4039, 4582, 4234, 4620
85, 4503, 4785, 4778, 4379
86, 4464, 4346, 4409, 4790
87, 4391, 4159, 4682, 4147
88, 4171, 4261, 4067, 4224
89, 4533, 4285, 4215, 4940
90, 4254, 4587, 4753, 4999
91, 4307, 4035, 4428, 4517
92, 4278, 4510, 4812, 4227
93, 4028, 4009, 4399, 4046
94, 4160, 4100, 4006, 4533
95, 4817, 4576, 4048, 4673
96, 4236, 4230, 4042, 4311
97, 4222, 4235, 4103, 4513
98, 4528, 4480, 4540, 4436
99, 4153, 4031, 4272, 4427
100, 4343, 4264, 4766, 4068
101, 4550, 4812, 4584, 5118
102, 4098, 4189, 4918, 4138
103, 4160, 4464, 4796, 5065
104, 4826, 4113, 4533, 4674
105, 4131, 4174, 4387, 4318
106, 4365, 4354, 4731, 4384
107, 5022, 4841, 5098, 5175
108, 4391, 4178, 4201, 4135
109, 4616, 4222, 4175, 4409
110, 4449, 4520, 4485, 4574
111, 4231, 4417, 4625, 4656
112, 4306, 4338, 4034, 4375
113, 4227, 4061, 4725, 4166
114, 4383, 4033, 4039, 4250
115, 4299, 4268, 4567, 4176
116, 4436, 4098, 4059, 4196
117, 4222, 4360, 4362, 4066
118, 4154, 4207, 4498, 4565
119, 4618, 4364, 4191, 4648
120, 4137, 4944, 4297, 4620
121, 5245, 5426, 5079, 4959
122, 5072, 5396, 4281, 5696
123, 4195, 4784, 4676, 4410
124, 4002, 4698, 4367, 4414
125, 4736, 4043, 4255, 4663
126, 4199, 5004, 4434, 4337
127, 4384, 4108, 4385, 4477
128, 4472, 4683, 4880, 4428
129, 4370, 4343, 4600, 4136
130, 4682, 5094, 4010, 4014
131, 4373, 4401, 4216, 4524
132, 4262, 4169, 4778, 4753
133, 4453, 4746, 4772, 4640
134, 4479, 4424, 4595, 4701
135, 4504, 4282, 4253, 4636
136, 4211, 4600, 4891, 5132
137, 4290, 4099, 4238, 4000
138, 4408, 4665, 4051, 5490
139, 5001, 4783, 4151, 4260
140, 5304, 4455, 4625, 4388
141, 4241, 5073, 5119, 4501
142, 4057, 4255, 4389, 4398
143, 4417, 4177, 4131, 4755
144, 4546, 4682, 4402, 4208
145, 4401, 4263, 5030, 4140
146, 4353, 4351, 4728, 4646
147, 4416, 4617, 4090, 4051
148, 4312, 4355, 4494, 4157
149, 4035, 4233, 4924, 5137
150, 4158, 4614, 4265, 4662
151, 4151, 4643, 4821, 4358
